% itn    run  time               r                   g
  1      2    0.71237E-02    0.4664359549E+01    0.7339639021E+00
  1      2    0.71237E-02    0.4703888020E+01    0.5787778071E+00
  1      2    0.71237E-02    0.4743416490E+01    0.6534897524E+00
  1      2    0.71237E-02    0.4782944961E+01    0.6198897922E+00
  1      2    0.71237E-02    0.4822473432E+01    0.6539106798E+00
  1      2    0.71237E-02    0.4862001903E+01    0.5765090075E+00
  1      2    0.71237E-02    0.4901530373E+01    0.5883363294E+00
  1      2    0.71237E-02    0.4941058844E+01    0.5563392067E+00
  1      2    0.71237E-02    0.4980587315E+01    0.6871773585E+00
  1      2    0.71237E-02    0.5020115786E+01    0.6495366953E+00
  1      2    0.71237E-02    0.5059644256E+01    0.5645527498E+00
  1      2    0.71237E-02    0.5099172727E+01    0.5812974316E+00
  1      2    0.71237E-02    0.5138701198E+01    0.5348589284E+00
  1      2    0.71237E-02    0.5178229669E+01    0.6088133915E+00
  1      2    0.71237E-02    0.5217758139E+01    0.5628719305E+00
  1      2    0.71237E-02    0.5257286610E+01    0.5176239256E+00
  1      2    0.71237E-02    0.5296815081E+01    0.5391795925E+00
  1      2    0.71237E-02    0.5336343552E+01    0.5856586357E+00
  1      2    0.71237E-02    0.5375872022E+01    0.5863479527E+00
  1      2    0.71237E-02    0.5415400493E+01    0.4726066198E+00
  1      2    0.71237E-02    0.5454928964E+01    0.5037398635E+00
  1      2    0.71237E-02    0.5494457435E+01    0.5001027526E+00
  1      2    0.71237E-02    0.5533985905E+01    0.5062534295E+00
  1      2    0.71237E-02    0.5573514376E+01    0.4833175022E+00
  1      2    0.71237E-02    0.5613042847E+01    0.5278920138E+00
  1      2    0.71237E-02    0.5652571318E+01    0.5241875085E+00
  1      2    0.71237E-02    0.5692099788E+01    0.6199094276E+00
  1      2    0.71237E-02    0.5731628259E+01    0.5921224734E+00
  1      2    0.71237E-02    0.5771156730E+01    0.4807099129E+00
  1      2    0.71237E-02    0.5810685201E+01    0.6072150366E+00
  1      2    0.71237E-02    0.5850213671E+01    0.5340412644E+00
  1      2    0.71237E-02    0.5889742142E+01    0.5533090367E+00
  1      2    0.71237E-02    0.5929270613E+01    0.5859456902E+00
  1      2    0.71237E-02    0.5968799084E+01    0.5730282957E+00
  1      2    0.71237E-02    0.6008327554E+01    0.6095861935E+00
  1      2    0.71237E-02    0.6047856025E+01    0.5432488724E+00
  1      2    0.71237E-02    0.6087384496E+01    0.5264382396E+00
  1      2    0.71237E-02    0.6126912967E+01    0.5845639161E+00
  1      2    0.71237E-02    0.6166441437E+01    0.5851716150E+00
  1      2    0.71237E-02    0.6205969908E+01    0.5597372567E+00
  1      2    0.71237E-02    0.6245498379E+01    0.5044453815E+00
  1      2    0.71237E-02    0.6285026850E+01    0.5483900289E+00
  1      2    0.71237E-02    0.6324555320E+01    0.5023774839E+00
  1      2    0.71237E-02    0.6364083791E+01    0.5584801492E+00
  1      2    0.71237E-02    0.6403612262E+01    0.5718409183E+00
  1      2    0.71237E-02    0.6443140733E+01    0.5139970101E+00
  1      2    0.71237E-02    0.6482669203E+01    0.4900869033E+00
  1      2    0.71237E-02    0.6522197674E+01    0.5077478063E+00
  1      2    0.71237E-02    0.6561726145E+01    0.4800613148E+00
  1      2    0.71237E-02    0.6601254616E+01    0.5138840685E+00
  1      2    0.71237E-02    0.6640783086E+01    0.6324389858E+00
  1      2    0.71237E-02    0.6680311557E+01    0.5077845543E+00
  1      2    0.71237E-02    0.6719840028E+01    0.5087950354E+00
  1      2    0.71237E-02    0.6759368499E+01    0.5735178712E+00
  1      2    0.71237E-02    0.6798896969E+01    0.5028615656E+00
  1      2    0.71237E-02    0.6838425440E+01    0.5589952165E+00
  1      2    0.71237E-02    0.6877953911E+01    0.4814093034E+00
  1      2    0.71237E-02    0.6917482382E+01    0.6031774730E+00
  1      2    0.71237E-02    0.6957010852E+01    0.5146160971E+00
  1      2    0.71237E-02    0.6996539323E+01    0.5694109994E+00
  1      2    0.71237E-02    0.7036067794E+01    0.5509002650E+00
  1      2    0.71237E-02    0.7075596265E+01    0.5135756147E+00
  1      2    0.71237E-02    0.7115124735E+01    0.4274869261E+00
  1      2    0.71237E-02    0.7154653206E+01    0.5041229148E+00
  1      2    0.71237E-02    0.7194181677E+01    0.5350178289E+00
